time,temperature_2m (째C),relative_humidity_2m (%),rain (mm),snowfall (cm),weather_code (wmo code),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_high (%),wind_direction_10m (째),wind_direction_100m (째),soil_temperature_28_to_100cm (째C)
2010-01-01T00:00,-2.7,88,0,0.21,73,991.2,100,92,82,47,52,2.3
2010-01-01T01:00,-2.7,87,0,0.14,71,991.3,100,94,90,45,49,2.3
2010-01-01T02:00,-2.8,87,0,0.14,71,991.3,100,91,83,48,51,2.3
2010-01-01T03:00,-2.7,88,0,0,3,991.5,100,77,54,49,53,2.3
2010-01-01T04:00,-2.7,87,0,0,3,991.9,100,93,49,47,53,2.3
2010-01-01T05:00,-2.4,86,0,0,3,992.4,100,98,4,45,51,2.3
2010-01-01T06:00,-2.2,86,0,0,3,992.4,100,97,41,45,51,2.3
2010-01-01T07:00,-2,85,0,0,3,992.5,100,97,49,49,52,2.3
2010-01-01T08:00,-1.7,84,0,0,3,992.8,100,97,57,46,48,2.3
2010-01-01T09:00,-1.6,82,0,0,3,992.8,100,90,62,41,45,2.3
2010-01-01T10:00,-1.7,81,0,0,3,993.3,100,92,34,38,42,2.3
2010-01-01T11:00,-2.1,81,0,0,3,994.3,100,83,27,38,44,2.3
2010-01-01T12:00,-2.5,81,0,0,3,994.8,100,84,35,35,42,2.3
2010-01-01T13:00,-2.8,82,0,0,3,995.1,100,88,70,30,36,2.3
2010-01-01T14:00,-3.2,82,0,0,3,995.6,100,79,86,29,35,2.3
2010-01-01T15:00,-2.9,85,0,0.07,71,996.3,100,86,78,27,34,2.3
2010-01-01T16:00,-3,86,0,0.07,71,997,100,79,84,26,33,2.3
2010-01-01T17:00,-2.9,87,0,0.07,71,997.5,100,73,79,25,33,2.3
2010-01-01T18:00,-2.9,87,0,0.07,71,998.1,100,93,74,32,40,2.3
2010-01-01T19:00,-2.9,87,0,0.07,71,998.6,100,81,51,30,40,2.3
2010-01-01T20:00,-3,88,0,0.07,71,999.2,100,54,70,18,31,2.3
2010-01-01T21:00,-3.2,89,0,0.07,71,999.7,100,37,92,9,22,2.3
2010-01-01T22:00,-3.4,89,0,0.07,71,1000.4,100,24,77,2,13,2.3
2010-01-01T23:00,-3.5,89,0,0.07,71,1000.8,93,8,89,4,12,2.3
2010-01-02T00:00,-3.7,90,0,0,3,1001.4,94,6,95,358,9,2.3
2010-01-02T01:00,-3.8,90,0,0,3,1002.4,99,12,93,351,2,2.3
2010-01-02T02:00,-3.8,91,0,0,3,1003.2,97,13,85,345,356,2.3
2010-01-02T03:00,-3.6,93,0,0.07,71,1004.1,72,1,36,339,351,2.3
2010-01-02T04:00,-3.6,93,0,0.07,71,1005,62,2,0,333,344,2.3
2010-01-02T05:00,-3.2,92,0,0.07,71,1005.8,64,5,0,328,339,2.3
2010-01-02T06:00,-2.7,90,0,0.07,71,1006.6,92,36,0,334,343,2.3
2010-01-02T07:00,-1.9,87,0,0.14,71,1007.2,100,54,0,326,335,2.3
2010-01-02T08:00,-1.4,86,0,0.14,71,1007.9,100,47,1,315,325,2.3
2010-01-02T09:00,-1.2,85,0,0.07,71,1008.7,100,49,0,313,318,2.3
2010-01-02T10:00,-1.4,87,0,0,3,1009.3,100,53,0,313,316,2.3
2010-01-02T11:00,-1.9,89,0,0,3,1010.4,93,39,0,305,310,2.3
2010-01-02T12:00,-2,89,0,0.07,71,1011.1,100,54,1,304,310,2.3
2010-01-02T13:00,-2.4,91,0,0.07,71,1011.7,89,48,0,301,308,2.3
2010-01-02T14:00,-3.2,92,0,0,3,1012.5,88,75,0,296,304,2.3
2010-01-02T15:00,-4.4,92,0,0.07,71,1013.1,97,90,0,291,302,2.3
2010-01-02T16:00,-5.1,92,0,0,3,1013.7,85,79,0,285,298,2.3
2010-01-02T17:00,-5.7,92,0,0,3,1013.9,92,88,0,279,291,2.3
2010-01-02T18:00,-5.7,92,0,0,3,1014.2,100,100,0,281,292,2.3
2010-01-02T19:00,-5.6,92,0,0.07,71,1014.5,100,96,0,281,295,2.3
2010-01-02T20:00,-5.8,93,0,0.07,71,1014.7,100,90,0,278,301,2.3
2010-01-02T21:00,-6.1,94,0,0,3,1014.4,100,83,0,275,305,2.3
2010-01-02T22:00,-7.3,94,0,0,3,1014.4,100,89,0,278,303,2.3
2010-01-02T23:00,-8.3,94,0,0,3,1014.5,100,93,0,294,317,2.3
2010-01-03T00:00,-8.1,94,0,0,3,1014.6,100,98,0,326,354,2.3
2010-01-03T01:00,-7.6,95,0,0,3,1014.5,100,100,0,83,62,2.3
2010-01-03T02:00,-8,95,0,0,3,1014.3,100,100,0,86,80,2.3
2010-01-03T03:00,-8.5,94,0,0,3,1014.5,100,100,0,87,85,2.3
2010-01-03T04:00,-7.8,93,0,0,3,1015,100,100,0,97,95,2.3
2010-01-03T05:00,-7.5,93,0,0,3,1015.3,100,96,0,93,104,2.3
2010-01-03T06:00,-6.4,93,0,0,3,1015.5,100,100,0,77,84,2.3
2010-01-03T07:00,-5.7,93,0,0,3,1015.3,90,100,0,70,79,2.3
2010-01-03T08:00,-5.1,92,0,0,3,1015.2,90,100,0,62,68,2.3
2010-01-03T09:00,-4.9,91,0,0,3,1015.1,89,99,0,60,62,2.3
2010-01-03T10:00,-5.2,92,0,0,3,1015.2,89,99,0,61,62,2.3
2010-01-03T11:00,-6.1,93,0,0,3,1015.5,88,97,0,48,55,2.3
2010-01-03T12:00,-7.4,93,0,0,3,1015.9,88,97,0,35,47,2.3
2010-01-03T13:00,-8.3,94,0,0,3,1016,84,93,0,45,45,2.2
2010-01-03T14:00,-8.8,94,0,0,3,1016.1,84,93,0,34,43,2.2
2010-01-03T15:00,-5.8,93,0,0,2,1016.3,74,82,0,27,40,2.2
2010-01-03T16:00,-5.8,93,0,0,2,1016.5,71,79,0,29,36,2.2
2010-01-03T17:00,-5.7,94,0,0,2,1016.7,75,83,0,40,36,2.2
2010-01-03T18:00,-5.8,95,0,0,2,1016.9,64,71,0,90,45,2.2
2010-01-03T19:00,-6.4,96,0,0,2,1016.6,76,85,0,217,53,2.2
2010-01-03T20:00,-7.5,95,0,0,3,1016.4,84,93,0,217,90,2.2
2010-01-03T21:00,-8.6,94,0,0,3,1016,82,91,0,225,214,2.2
2010-01-03T22:00,-9.1,93,0,0,3,1015.9,86,95,0,215,211,2.2
2010-01-03T23:00,-9.3,92,0,0,3,1015.6,85,94,0,219,216,2.2
